sinistro	data	horario	uf_ocorrencia	mercadoria	origem_uf	destino_uf	faixa_valor_carga	vinculo_motorista	local_ocorrencia
Acidente	2019-01-08	Manhã	RS	Tratores/Empilhadeiras	RS	RS	5	S/Comprovação	BR 290
Acidente	2019-01-15	Tarde	SP	Bebidas	SP	PR	1	S/Comprovação	SP 270
Acidente	2019-01-19	Tarde	CE	Hig/Limp/Cosm	BA	PA	4	S/Comprovação	BR 222
Acidente	2019-01-19	Tarde	MG	Alumínio	SP	PE	4	S/Comprovação	BR 116
Acidente	2019-01-22	Manhã	PR	Frigorífico	SP	SC	2	S/Comprovação	BR 116
Acidente	2019-01-23	Madrugada	SC	Geral	SC	SP	1	S/Comprovação	BR 101
Acidente	2019-01-25	Madrugada	MG	Hig/Limp/Cosm	SP	MG	1	S/Comprovação	BR 359
Acidente	2019-01-25	Noite	SP	Confecção/Tecido/Fios	SP	SC	1	S/Comprovação	BR 116
Acidente	2019-01-27	Manhã	BA	Específicas	SP	PE	4	S/Comprovação	BR 116
Acidente	2019-01-30	Noite	PR	Frigorífico	PR	PR	1	S/Comprovação	BR 376
Acidente	2019-02-04	Manhã	SP	Eletrodoméstico	SC	PA	1	S/Comprovação	BR 153
Acidente	2019-02-07	Manhã	PR	Autopeças	PR	PR	3	S/Comprovação	BR 277
Acidente	2019-02-10	Madrugada	MG	Específicas	SP	BA	4	S/Comprovação	BR 381
Acidente	2019-02-11	Madrugada	SP	Diversos	PR	SP	3	S/Comprovação	BR 116
Acidente	2019-02-11	Sem Inf	SP	Combustível	MT	BA	1	S/Comprovação	GO 222
Acidente	2019-02-12	Manhã	SP	Bebidas	SP	SC	1	S/Comprovação	BR 116
Acidente	2019-02-15	Tarde	SC	Geral	SC	SC	1	S/Comprovação	SC 443
Acidente	2019-02-15	Tarde	SC	Madeira	SC	SC	1	S/Comprovação	SC 443
Acidente	2019-02-17	Manhã	MG	Frigorífico	PR	MG	1	S/Comprovação	BR 381
Acidente	2019-02-17	Tarde	RJ	Veículo	SP	RJ	1	S/Comprovação	Rua/Avenida
Acidente	2019-02-17	Tarde	SC	Veículo	PR	RS	3	S/Comprovação	BR 153
Acidente	2019-02-18	Madrugada	MG	Frigorífico	MG	SP	4	S/Comprovação	BR 381
Acidente	2019-02-27	Noite	MA	Bebidas	PE	PA	1	S/Comprovação	BR 116
Acidente	2019-03-01	Manhã	GO	Específicas	GO	GO	3	S/Comprovação	Rua/Avenida
Acidente	2019-03-12	Noite	SP	Hig/Limp/Cosm	MG	RJ	4	S/Comprovação	BR 116
Acidente	2019-03-12	Tarde	SC	Alimentício	AR	SP	1	S/Comprovação	BR 153
Acidente	2019-03-13	Tarde	SE	Doces/Chocolate	SP	PE	4	S/Comprovação	BR 101
Acidente	2019-03-14	Tarde	SC	Laticínios	SC	PR	3	S/Comprovação	BR 153
Acidente	2019-03-17	Manhã	BA	Fibra Ótica	BA	BA	3	S/Comprovação	BR 101
Acidente	2019-03-18	Noite	BA	Alimentício	PE	BA	1	S/Comprovação	BR 101
Acidente	2019-03-19	Manhã	PR	Diversos	SC	PR	3	S/Comprovação	BR 476
Acidente	2019-03-19	Noite	SP	Específicas	SP	SP	3	S/Comprovação	SP 330
Acidente	2019-03-20	Madrugada	SP	Alimentício	SP	SP	2	S/Comprovação	SP 280
Acidente	2019-03-20	Noite	PR	Frigorífico	PR	PR	1	S/Comprovação	BR 277
Acidente	2019-03-21	Noite	AL	Hig/Limp/Cosm	PE	BA	1	S/Comprovação	BR 101
Fraude	2018-03-26	Noite	MG	Geral	SC	CE	3	Funcionário	BR 381
Fraude	2018-03-26	Noite	MG	Geral	SC	CE	3	Funcionário	BR 381
Fraude	2018-03-26	Noite	MG	Geral	SC	CE	3	Funcionário	BR 381
Fraude	2018-03-28	Madrugada	MG	Geral	SC	BA	3	Funcionário	BR 381
Fraude	2018-03-28	Madrugada	MG	Geral	SC	BA	3	Funcionário	BR 381
Fraude	2018-04-01	Noite	PR	Geral	SC	MA	3	Funcionário	BR 116
Fraude	2018-04-01	Noite	SP	Geral	SC	PA	3	Funcionário	BR 116
Fraude	2018-04-01	Noite	SP	Geral	SC	MA	3	Funcionário	BR 116
Fraude	2018-04-01	Tarde	PR	Geral	SC	SP	3	Funcionário	BR 116
Fraude	2018-04-01	Tarde	SP	Geral	SC	SP	3	Funcionário	BR 116
Outros	2017-01-30	Tarde	MG	Aço/Ferro	SP	MG	1	Funcionário	Incerto
Outros	2017-01-06	Tarde	ES	Pneus	EX	MG	3	S/Comprovação	Incerto
Outros	2017-03-23	Manhã	MG	Alumínio	SP	BA	3	S/Comprovação	BR 116
Outros	2017-04-06	Manhã	SP	Maquinário	SP	EX	4	S/Comprovação	SP 310
Outros	2017-04-14	Madrugada	AM	Aço/Ferro	SP	AM	3	S/Comprovação	Rua/Avenida
Outros	2017-05-03	Madrugada	PE	Alumínio	PE	SP	3	S/Comprovação	PE 060
Outros	2017-05-23	Noite	MG	Maquinário	SP	MG	5	S/Comprovação	Incerto
Outros	2017-06-14	Tarde	SP	Alimentício	EX	MG	3	S/Comprovação	BR 116
Outros	2017-07-31	Manhã	EX	Utilidades Doméstica	EX	EX	2	S/Comprovação	Incerto
Outros	2017-08-11	Manhã	MG	Alumínio	PI	SP	4	S/Comprovação	BR 166
Outros	2017-10-03	Madrugada	BA	Alumínio	PI	SP	3	S/Comprovação	BR 116
Outros	2017-10-03	Manhã	SP	Alimentício	SP	SP	1	S/Comprovação	Rua/Avenida
Outros	2017-10-15	Tarde	MG	Bebidas	ES	MG	1	S/Comprovação	BR 381
Outros	2017-11-15	Madrugada	MG	Hig/Limp/Cosm	MG	MG	4	S/Comprovação	BR 381
Outros	2017-12-26	Madrugada	SP	Laticínios	EX	SP	3	S/Comprovação	Incerto
Outros	2017-12-28	Manhã	MG	Alumínio	SP	PE	4	S/Comprovação	BR 116
Outros	2018-01-24	Manhã	SP	Químico	EX	SP	1	S/Comprovação	Rua/Avenida
Outros	2018-02-15	Tarde	CE	Café	PR	CE	1	S/Comprovação	Rua/Avenida
Outros	2018-03-03	Tarde	PA	Alumínio	SP	AM	3	S/Comprovação	BR 010
Outros	2018-03-21	Madrugada	TO	Medicamento	GO	TO	2	S/Comprovação	Rua/Avenida
Outros	2018-04-09	Noite	PR	Geral	SC	PR	2	S/Comprovação	BR 376
Outros	2018-05-01	Manhã	PI	Alumínio	SP	PI	4	S/Comprovação	BR 316
Outros	2018-05-07	Madrugada	SP	Laticínios	EX	GO	5	S/Comprovação	Incerto
Outros	2018-05-11	Manhã	MG	Alimentício	SP	MG	1	S/Comprovação	Incerto
Outros	2018-05-21	Madrugada	PE	Frigorífico	DF	MG	1	S/Comprovação	Incerto
Outros	2018-05-22	Madrugada	PE	Frigorífico	DF	TO	1	S/Comprovação	Incerto
Outros	2018-05-30	Manhã	SP	Frigorífico	EX	SP	4	S/Comprovação	Incerto
Outros	2018-05-30	Manhã	SP	Frigorífico	EX	SP	4	S/Comprovação	Incerto
Outros	2018-05-30	Manhã	SP	Frigorífico	EX	SP	4	S/Comprovação	Incerto
Outros	2018-05-30	Tarde	SC	Frigorífico	SC	SC	1	S/Comprovação	Rua/Avenida
Outros	2018-05-30	Tarde	SP	Laticínios	SP	SP	1	S/Comprovação	Incerto
Outros	2018-06-04	Noite	SP	Medicamento	EX	SP	1	S/Comprovação	Incerto
Outros	2018-06-08	Manhã	AM	Alumínio	SP	AM	3	S/Comprovação	Rua/Avenida
Outros	2018-06-12	Tarde	SC	Tratores/Empilhadeiras	PR	RS	3	S/Comprovação	BR 153
Outros	2018-07-23	Tarde	MG	Autopeças	MG	PE	4	S/Comprovação	BR 381
Outros	2018-07-23	Tarde	MG	Autopeças	MG	PE	4	S/Comprovação	BR 251
Outros	2018-08-12	Manhã	MG	Autopeças	MG	PE	4	S/Comprovação	BR 381
Outros	2018-08-28	Tarde	MG	Café	MG	MG	3	S/Comprovação	BR 491
Outros	2018-08-31	Manhã	RS	Alimentício	SP	RS	3	S/Comprovação	Incerto
Outros	2018-09-16	Tarde	GO	Laticínios	GO	MS	2	S/Comprovação	BR 364
Outros	2018-09-19	Noite	SP	Maquinário	SP	MG	2	S/Comprovação	Incerto
Outros	2018-09-28	Manhã	CE	Frigorífico	CE	CE	2	S/Comprovação	BR 222
Outros	2018-10-08	Tarde	SP	Ração Animal	PR	MS	3	S/Comprovação	SP 215
Outros	2018-10-09	Manhã	SP	Alimentício	SP	SP	2	S/Comprovação	Incerto
Outros	2018-10-16	Manhã	SP	Alimentício	PE	SP	2	S/Comprovação	Incerto
Outros	2018-10-16	Tarde	PR	Tratores/Empilhadeiras	PR	BH	4	S/Comprovação	Rua/Avenida
Outros	2018-11-23	Manhã	SP	Específicas	SP	MG	4	S/Comprovação	Incerto
Outros	2018-12-04	Tarde	PR	Aço/Ferro	SC	GO	1	S/Comprovação	PR 420
Outros	2018-12-05	Tarde	MA	Geral	SP	MA	1	S/Comprovação	Incerto
Outros	2018-12-13	Tarde	GO	Medicamento	GO	RJ	4	S/Comprovação	Incerto
Outros	2018-12-17	Madrugada	SP	Maquinário	RJ	SP	2	S/Comprovação	Incerto
Outros	2018-12-22	Manhã	RJ	Específicas	BA	RJ	1	S/Comprovação	Incerto
Outros	2019-02-26	Noite	CE	Alumínio	SP	CE	4	S/Comprovação	Rua/Avenida
Outros	2019-03-07	Manhã	PE	Pescado	SC	PE	1	S/Comprovação	Rua/avenida
Outros	2019-03-29	Noite	RS	Veículo	RS	SP	3	S/Comprovação	BR 101
Roubo/Furto	2017-03-27	Noite	MG	Específicas	MG	BA	4	Agregado	BR 381
Roubo/Furto	2017-03-29	Manhã	SP	Polímeros	RJ	SP	1	Agregado	Rua/Avenida
Roubo/Furto	2017-04-03	Noite	SP	Alumínio	SC	SP	2	Agregado	BR 116
Roubo/Furto	2017-04-30	Noite	PE	Frigorífico	SP	PB	4	Agregado	BR 116
Roubo/Furto	2017-06-08	Manhã	PR	Eletrônicos	EX	PR	3	Agregado	Rua/Avenida
Roubo/Furto	2017-06-16	Noite	BA	Frigorífico	SP	PB	4	Agregado	BA 210
Roubo/Furto	2017-06-17	Tarde	RJ	Específicas	RJ	RJ	1	Agregado	BR 101
Roubo/Furto	2017-06-25	Noite	PR	Frigorífico	SP	RS	3	Agregado	BR 116
Roubo/Furto	2017-06-30	Noite	MG	Específicas	SP	BA	4	Agregado	BR 116
Roubo/Furto	2017-06-30	Tarde	PE	Alimentício	PE	MA	2	Agregado	BR 424
Roubo/Furto	2017-07-06	Tarde	SP	Alumínio	SP	PR	1	Agregado	Rua/Avenida
Roubo/Furto	2017-08-22	Manhã	RJ	Específicas	PR	RJ	1	Agregado	Rua/Avenida
Roubo/Furto	2017-09-06	Tarde	PE	Alimentício	PE	MG	1	Agregado	BR 423
Roubo/Furto	2017-09-23	Manhã	RJ	Específicas	RJ	ES	3	Agregado	BR 040
Roubo/Furto	2017-09-29	Madrugada	SP	Específicas	SP	SP	3	Agregado	SP 101
Roubo/Furto	2017-10-02	Madrugada	RJ	Hig/Limp/Cosm	MG	RJ	1	Agregado	BR 116
Roubo/Furto	2017-10-04	Madrugada	SP	Celulares	SP	SP	1	Agregado	Rua/Avenida
Roubo/Furto	2017-10-20	Noite	PE	Eletrônicos	CE	PE	1	Agregado	BR 101
Roubo/Furto	2017-10-24	Manhã	SP	E-Commerce	SP	SP	2	Agregado	SP 280
Roubo/Furto	2017-10-24	Tarde	SP	Alumínio	SP	GO	2	Agregado	SP 065
Roubo/Furto	2017-10-28	Tarde	RJ	Específicas	RJ	SP	4	Agregado	Rua/Avenida
Roubo/Furto	2017-10-28	Tarde	RJ	Específicas	RJ	SP	2	Agregado	Rua/Avenida
Roubo/Furto	2017-11-07	Madrugada	SP	Alimentício	AL	SP	3	Agregado	BR 381
Roubo/Furto	2017-11-14	Madrugada	PR	Bicicleta	AM	SC	4	Agregado	BR 277
Roubo/Furto	2017-11-17	Manhã	RJ	Específicas	SP	RJ	3	Agregado	Rua/Avenida
Roubo/Furto	2017-11-17	Noite	SP	Específicas	PR	SP	3	Agregado	SP 280
Roubo/Furto	2017-11-20	Noite	RJ	Frigorífico	RS	RJ	1	Agregado	BR 116
Roubo/Furto	2017-11-26	Madrugada	SP	Frigorífico	MS	SP	1	Agregado	SP 160
Roubo/Furto	2017-12-02	Manhã	EX	Pescado	EX	SP	2	Agregado	Rua/Avenida
Roubo/Furto	2018-01-03	Madrugada	RJ	E-Commerce	RJ	RJ	1	Agregado	BR 101
Roubo/Furto	2018-01-12	Manhã	PE	E-Commerce	PE	BA	4	Agregado	BR 101
Roubo/Furto	2018-01-23	Manhã	SP	Calçados	SP	SP	1	Agregado	SP 330
Roubo/Furto	2018-01-25	Madrugada	MG	Óleo Lubrificante	RJ	GO	3	Agregado	BR 354
Roubo/Furto	2018-02-27	Noite	SP	Específicas	SP	MG	2	Agregado	Rua/Avenida
Roubo/Furto	2018-03-01	Manhã	SP	Alumínio	RS	SP	1	Agregado	SP 021
Roubo/Furto	2018-03-06	Noite	RJ	Alimentício	RJ	RJ	2	Agregado	Rua/Avenida
Roubo/Furto	2018-03-09	Tarde	BA	Café	BA	CE	2	Agregado	BR 101
Roubo/Furto	2018-03-15	Madrugada	MG	Eletrônicos	SP	MG	3	Agregado	BR 381
Roubo/Furto	2018-03-19	Noite	GO	Confecção/Tecido/Fios	GO	TO	2	Agregado	BR 153
Roubo/Furto	2018-03-21	Madrugada	PR	Pescado	GO	SC	2	Agregado	BR 376
Roubo/Furto	2018-03-26	Tarde	MG	Eletrônicos	SP	GO	4	Agregado	MG 810
Roubo/Furto	2018-04-01	Noite	MG	Celulares	SP	MG	4	Agregado	BR 262
Roubo/Furto	2018-04-05	Noite	MG	Café	MG	SP	2	Agregado	BR 262
Roubo/Furto	2018-04-08	Noite	RN	Hig/Limp/Cosm	PE	CE	3	Agregado	BR 304
Roubo/Furto	2018-04-18	Madrugada	PR	Medicamento	SC	PR	2	Agregado	BR 376
Roubo/Furto	2018-04-18	Madrugada	SP	Autopeças	SP	PR	4	Agregado	SP 348
Roubo/Furto	2018-04-26	Madrugada	PE	Hig/Limp/Cosm	PE	BA	1	Agregado	BR 101
Roubo/Furto	2018-05-01	Noite	SP	Específicas	SC	SP	3	Agregado	BR 116
Roubo/Furto	2018-05-13	Manhã	CE	Confecção/Tecido/Fios	RJ	CE	3	Agregado	BR 116
Roubo/Furto	2018-05-22	Noite	RN	Específicas	PE	CE	3	Agregado	BR 304
Roubo/Furto	2018-06-05	Madrugada	SP	E-Commerce	SP	SP	1	Agregado	SP 280
Roubo/Furto	2018-06-06	Manhã	SP	Veículo	SP	RJ	1	Agregado	BR 116
Roubo/Furto	2018-06-11	Noite	SP	Tinta/Verniz	SP	RJ	1	Agregado	BR 116
Roubo/Furto	2018-06-16	Noite	PB	Específicas	CE	PB	3	Agregado	BR 101
Roubo/Furto	2018-06-19	Noite	GO	Hig/Limp/Cosm	GO	SP	3	Agregado	BR 153
Roubo/Furto	2018-06-20	Madrugada	MA	Laticínios	SP	MA	3	Agregado	BR 010
Roubo/Furto	2018-06-27	Tarde	RJ	Bebidas	RJ	MG	3	Agregado	BR 101
Roubo/Furto	2018-07-03	Manhã	SP	Defensivo Agrícola	SP	MT	3	Agregado	SP 065
Roubo/Furto	2018-07-10	Manhã	SP	E-Commerce	SP	SP	4	Agregado	SP 075
Roubo/Furto	2018-07-21	Madrugada	RJ	E-Commerce	RJ	RJ	3	Agregado	Rua/Avenida
Roubo/Furto	2018-07-26	Noite	SC	Frigorífico	SC	SC	2	Agregado	BR 101
Roubo/Furto	2018-07-30	Manhã	RS	Eletrônicos	RS	RS	3	Agregado	Rua/Avenida
Roubo/Furto	2018-07-31	Madrugada	SP	Bebidas	RJ	MG	3	Agregado	Rua/Avenida
Roubo/Furto	2018-08-01	Noite	PE	Hig/Limp/Cosm	PE	BA	2	Agregado	BR 101
Roubo/Furto	2018-08-08	Noite	RJ	Tinta/Verniz	SP	RJ	1	Agregado	BR 101
Roubo/Furto	2018-09-03	Madrugada	GO	Defensivo Agrícola	SP	BA	5	Agregado	BR 020
Roubo/Furto	2018-09-04	Noite	MG	Defensivo Agrícola	SP	BA	2	Agregado	BR 050
Roubo/Furto	2018-09-10	Noite	RJ	Calçados	RJ	RJ	2	Agregado	BR 101
Roubo/Furto	2018-09-21	Manhã	RJ	Celulares	RJ	RJ	1	Agregado	Rua/Avenida
Roubo/Furto	2018-09-25	Noite	PR	Combustível	PR	MS	1	Agregado	BR 376
Roubo/Furto	2018-09-30	Manhã	MG	Calçados	MG	SP	2	Agregado	Rua/Avenida
Roubo/Furto	2018-10-01	Tarde	RJ	Geral	RJ	RJ	1	Agregado	Rua/Avenida
Roubo/Furto	2018-10-04	Manhã	SP	Veículo	SP	PR	2	Agregado	SP 234
Roubo/Furto	2018-10-04	Noite	SP	Autopeças	SP	SP	1	Agregado	Rua/Avenida
Roubo/Furto	2018-10-16	Noite	GO	Defensivo Agrícola	SP	BA	4	Agregado	BR 020
Roubo/Furto	2018-10-20	Madrugada	PR	Hig/Limp/Cosm	MG	RS	4	Agregado	BR 376
Roubo/Furto	2018-11-04	Noite	BA	Defensivo Agrícola	SP	MT	5	Agregado	BR 020
Roubo/Furto	2018-11-08	Manhã	RJ	Específicas	RJ	RJ	1	Agregado	BR 101
Roubo/Furto	2018-11-29	Manhã	RJ	Prod. Ópticos	RJ	RJ	3	Agregado	Rua/Avenida
Roubo/Furto	2018-12-18	Tarde	MG	Defensivo Agrícola	SP	MG	2	Agregado	MG 188
Roubo/Furto	2019-01-02	Noite	RJ	Combustível	RJ	SP	2	Agregado	BR 116
Roubo/Furto	2019-01-24	Tarde	RJ	Frigorífico	PR	RJ	2	Agregado	Rua/Avenida
Roubo/Furto	2019-01-28	Noite	BA	Defensivo Agrícola	SP	PB	5	Agregado	BR 407
Roubo/Furto	2019-02-01	Tarde	GO	Combustível	GO	GO	1	Agregado	BR 452
Roubo/Furto	2017-01-08	Noite	SP	Tubos e Conexões	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-01-10	Madrugada	SP	Alumínio	SP	MT	3	Autônomo	SP 330
Roubo/Furto	2017-01-10	Manhã	RJ	Óleo Lubrificante	RJ	GO	2	Autônomo	BR 040
Roubo/Furto	2017-01-16	Tarde	GO	Sementes	GO	GO	4	Autônomo	BR 060
Roubo/Furto	2017-01-18	Noite	SP	Químico	SP	PI	1	Autônomo	BR 381
Roubo/Furto	2017-01-19	Madrugada	SP	Alumínio	SC	SP	2	Autônomo	BR 116
Roubo/Furto	2017-01-25	Noite	SP	Alumínio	SP	SP	1	Autônomo	BR 116
Roubo/Furto	2017-01-28	Madrugada	MG	Couro	GO	SP	2	Autônomo	BR 153
Roubo/Furto	2017-01-29	Madrugada	SP	Geral	MG	SP	3	Autônomo	BR 381
Roubo/Furto	2017-02-01	Manhã	SP	Alumínio	SP	SP	2	Autônomo	BR 116
Roubo/Furto	2017-02-09	Noite	SP	Tratores/Empilhadeiras	MG	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-02-14	Manhã	SP	Confecção/Tecido/Fios	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-02-16	Madrugada	SP	Alumínio	MG	SP	1	Autônomo	BR 116
Roubo/Furto	2017-02-16	Manhã	MG	Hig/Limp/Cosm	MG	MG	3	Autônomo	BR 050
Roubo/Furto	2017-02-17	Noite	SP	Geral	PR	PB	1	Autônomo	BR 381
Roubo/Furto	2017-02-18	Tarde	PA	Laticínios	RS	PA	3	Autônomo	BR 316
Roubo/Furto	2017-02-23	Noite	GO	Óleo Comestível	MT	MG	1	Autônomo	BR 452
Roubo/Furto	2017-03-02	Noite	SP	Fios/Cabos	SP	DF	3	Autônomo	SP 330
Roubo/Furto	2017-03-06	Madrugada	SP	Confecção/Tecido/Fios	BA	SP	4	Autônomo	BR 381
Roubo/Furto	2017-03-15	Noite	SP	Polímeros	RJ	PR	1	Autônomo	BR 116
Roubo/Furto	2017-03-18	Manhã	RJ	Tubos e Conexões	SP	RJ	2	Autônomo	BR 116
Roubo/Furto	2017-03-18	Tarde	PE	E-commerce	PE	MA	2	Autônomo	BR 232
Roubo/Furto	2017-03-20	Manhã	SP	Confecção/Tecido/Fios	SP	SP	2	Autônomo	SP 160
Roubo/Furto	2017-03-21	Madrugada	MG	Específicas	MG	RJ	1	Autônomo	BR 040
Roubo/Furto	2017-03-22	Manhã	RJ	Frigorífico	MT	RJ	3	Autônomo	Rua/Avenida
Roubo/Furto	2017-03-23	Noite	SP	Aço/Ferro	SP	SP	2	Autônomo	Rua/Avenida
Roubo/Furto	2017-03-25	Noite	SP	Calçados	SP	PE	4	Autônomo	BR 116
Roubo/Furto	2017-03-26	Tarde	RJ	Polímeros	RJ	BA	1	Autônomo	BR 040
Roubo/Furto	2017-03-27	Madrugada	SP	Aço/Ferro	MG	MS	1	Autônomo	SP 153
Roubo/Furto	2017-03-30	Manhã	RJ	Fios/Cabos	SP	RJ	2	Autônomo	 Rua/Avenida
Roubo/Furto	2017-03-30	Tarde	SP	Pescado	SC	PE	2	Autônomo	BR 381
Roubo/Furto	2017-03-31	Madrugada	GO	E-Commerce	MG	GO	1	Autônomo	BR 153
Roubo/Furto	2017-04-02	Madrugada	MA	Hig/Limp/Cosm	SP	MA	1	Autônomo	BR 226
Roubo/Furto	2017-04-02	Tarde	PR	Hig/Limp/Cosm	EX	SP	5	Autônomo	BR 476
Roubo/Furto	2017-04-04	Tarde	SP	Confecção/Tecido/Fios	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-04-07	Madrugada	RJ	Pescado	SP	RJ	2	Autônomo	 Rua/Avenida
Roubo/Furto	2017-04-09	Manhã	SP	Laticínios	SP	MA	3	Autônomo	SP 330
Roubo/Furto	2017-04-13	Madrugada	SP	Calçados	SP	SP	3	Autônomo	SP 330
Roubo/Furto	2017-04-13	Noite	RJ	Medicamento	DF	RJ	4	Autônomo	Rua/Avenida
Roubo/Furto	2017-04-18	Noite	PR	Confecção/Tecido/Fios	SC	SP	2	Autônomo	BR 376
Roubo/Furto	2017-04-19	Madrugada	SP	Combustível	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-04-19	Manhã	SE	Específicas	SE	SE	1	Autônomo	BR 235
Roubo/Furto	2017-04-20	Madrugada	RJ	Alimentício	SP	RJ	2	Autônomo	BR 101
Roubo/Furto	2017-04-25	Madrugada	PR	Polímeros	RS	PR	1	Autônomo	BR 376
Roubo/Furto	2017-04-25	Madrugada	SP	Laticínios	SC	MG	2	Autônomo	BR 381
Roubo/Furto	2017-04-26	Tarde	SP	Polímeros	SP	ES	1	Autônomo	BR 116
Roubo/Furto	2017-05-02	Noite	PE	E-commerce	PE	AL	2	Autônomo	Rua/Avenida
Roubo/Furto	2017-05-03	Madrugada	SP	Medicamento	SP	RS	4	Autônomo	BR 381
Roubo/Furto	2017-05-06	Noite	ES	Laticínios	BA	ES	1	Autônomo	BR 101
Roubo/Furto	2017-05-09	Madrugada	SC	Café	MG	SC	3	Autônomo	BR 101
Roubo/Furto	2017-05-09	Madrugada	SP	Geral	PR	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-05-11	Noite	PE	Fraldas	GO	RJ	1	Autônomo	Desvio
Roubo/Furto	2017-05-12	Tarde	SP	Confecção/Tecido/Fios	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-05-19	Tarde	RJ	Específicas	RJ	RJ	1	Autônomo	BR 040
Roubo/Furto	2017-05-21	Madrugada	SP	Frigorífico	GO	SP	2	Autônomo	SP 330
Roubo/Furto	2017-05-21	Tarde	PE	Pescado	CE	PE	2	Autônomo	BR 232
Roubo/Furto	2017-05-24	Manhã	SP	Minério	SP	PR	1	Autônomo	BR 116
Roubo/Furto	2017-05-24	Tarde	MG	Calçados	MG	MS	1	Autônomo	BR 262
Roubo/Furto	2017-05-26	Noite	MG	Confecção/Tecido/Fios	BA	SP	4	Autônomo	BR 116
Roubo/Furto	2017-05-30	Madrugada	SP	Confecção/Tecido/Fios	SP	SP	4	Autônomo	BR 116
Roubo/Furto	2017-05-31	Madrugada	GO	Papel	MS	DF	1	Autônomo	BR 050
Roubo/Furto	2017-05-31	Noite	MG	Defensivo Agrícola	SP	MT	3	Autônomo	BR 364
Roubo/Furto	2017-06-04	Madrugada	MG	Fios/Cabos	SP	PE	2	Autônomo	BR 381
Roubo/Furto	2017-06-04	Madrugada	MG	Fios/Cabos	SP	PE	4	Autônomo	BR 381
Roubo/Furto	2017-06-04	Noite	RN	Alimentício	PE	CE	2	Autônomo	BR 101
Roubo/Furto	2017-06-07	Noite	RJ	Específicas	RJ	SP	1	Autônomo	BR 116
Roubo/Furto	2017-06-08	Noite	SP	Químico	SP	GO	1	Autônomo	SP 310
Roubo/Furto	2017-06-11	Manhã	RJ	Frigorífico	TO	RJ	2	Autônomo	BR 101
Roubo/Furto	2017-06-21	Noite	ES	Hig/Limp/Cosm	SP	ES	1	Autônomo	BR 101
Roubo/Furto	2017-06-21	Noite	SP	Hig/Limp/Cosm	GO	SP	4	Autônomo	SP 065
Roubo/Furto	2017-06-22	Madrugada	MT	Frigorífico	MT	SP	2	Autônomo	Rua/Avenida
Roubo/Furto	2017-06-22	Noite	GO	Combustível	PR	MT	1	Autônomo	BR 364
Roubo/Furto	2017-06-26	Madrugada	SP	Polímeros	SC	SP	1	Autônomo	SP 021
Roubo/Furto	2017-06-26	Noite	SP	Frigorífico	MT	SP	2	Autônomo	SP 330
Roubo/Furto	2017-06-26	Tarde	SP	Frigorífico	MT	SP	3	Autônomo	SP 021
Roubo/Furto	2017-06-27	Manhã	PB	Hig/Limp/Cosm	PE	CE	1	Autônomo	Desvio
Roubo/Furto	2017-06-27	Tarde	MG	Eletrônicos	MG	SP	2	Autônomo	BR 381
Roubo/Furto	2017-06-29	Noite	SP	Polímeros	SP	MG	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-07-01	Noite	SP	Óleo Lubrificante	RJ	MT	2	Autônomo	SP 330
Roubo/Furto	2017-07-03	Manhã	SP	Óleo Lubrificante	RJ	MT	1	Autônomo	SP 280
Roubo/Furto	2017-07-08	Madrugada	MG	Café	MG	SP	2	Autônomo	BR 262
Roubo/Furto	2017-07-09	Tarde	RJ	Pescado	SP	RJ	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-07-12	Manhã	RJ	Confecção/Tecido/Fios	RJ	RJ	1	Autônomo	BR 101
Roubo/Furto	2017-07-13	Noite	BA	Laticínios	RJ	PB	1	Autônomo	BR 101
Roubo/Furto	2017-07-13	Tarde	MG	Eletrodoméstico	SP	PE	3	Autônomo	BR 381
Roubo/Furto	2017-07-18	Madrugada	RJ	Calçados	SP	RJ	2	Autônomo	BR 040
Roubo/Furto	2017-07-20	Manhã	RJ	Frigorífico	TO	RJ	2	Autônomo	BR 116
Roubo/Furto	2017-07-23	Madrugada	SP	Café	SP	SE	2	Autônomo	SP 330
Roubo/Furto	2017-07-26	Madrugada	SP	Alumínio	SC	SP	2	Autônomo	BR 116
Roubo/Furto	2017-07-31	Noite	SP	Alumínio	PR	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-08-01	Noite	BA	Bebidas	RJ	BA	1	Autônomo	BR 101
Roubo/Furto	2017-08-01	Noite	SP	Específicas	SP	SP	1	Autônomo	Rua/Avenida
Roubo/Furto	2017-08-07	Manhã	PR	Sementes	MT	PR	3	Autônomo	BR 277
Roubo/Furto	2017-08-07	Noite	SP	Frigorífico	SP	SP	3	Autônomo	SP 330
Roubo/Furto	2017-08-09	Noite	MG	Café	MG	MG	3	Autônomo	BR 354
